ORF	substrate	mASA20	mASA30	mASA50	dists
YKL154W	0	1.5116279069767442	1.5892857142857142	1.2804878048780488	9.434782608695652
YDL192W	0	0.813953488372093	0.7857142857142857	0.9390243902439024	8.61111111111111
YMR138W	0	1.6744186046511629	1.4821428571428572	1.4268292682926829	6.826086956521739
YOR094W	0	0.7906976744186046	0.6785714285714286	0.8536585365853658	8.157894736842104
YBR164C	0	1.2093023255813953	1.4464285714285714	1.3048780487804879	8.5
YHR022C	1	0.7674418604651163	1.0535714285714286	0.9390243902439024	13.875
YOR185C	1	0.5581395348837209	0.6428571428571429	0.7439024390243902	10.714285714285714
YLR293C	1	0.4186046511627907	0.6428571428571429	0.7804878048780488	13.818181818181818
YFL005W	1	0.9069767441860465	1.1607142857142858	1.3414634146341464	9.352941176470589
YCR027C	1	1.069767441860465	1.0357142857142858	1.146341463414634	8.736842105263158
YFL038C	1	1.1162790697674418	1.2142857142857142	1.3170731707317074	8.705882352941176
YBR264C	1	0.3953488372093023	0.48214285714285715	0.5609756097560976	13.909090909090908
YKR014C	1	0.813953488372093	0.9464285714285714	1.1341463414634145	13.538461538461538
YNL093W	1	0.7674418604651163	0.6964285714285714	0.8414634146341463	12.461538461538462
YNL090W	1	0.5348837209302325	0.625	0.6829268292682927	9.214285714285714
YOR089C	1	0.5581395348837209	0.7321428571428571	0.8170731707317073	14.181818181818182
