	ORF	substrate	Nnopt
0	YDL021W	0	1
1	YKL152C	0	0
2	YKR043C	1	0
3	YOL056W	0	1
4	YDR051C	1	1
5	YPR085C	0	3
6	YNL035C	1	1
7	YMR146C	1	0
8	YLR208W	1	0
9	YDR142C	0	5
10	YDR267C	1	0
11	YMR116C	1	0
12	YGL100W	1	4
13	YBR175W	1	2
14	YNL006W	1	0
15	YER107C	1	8
16	YKL018W	1	4
17	YBR246W	1	5
18	YBR234C	1	1
19	YER066W	0	1
20	YCL018W	0	0
21	YDL066W	1	0
22	YLR174W	1	0
23	YOR136W	1	0
24	YNL009W	0	4
25	YLR446W	0	6
26	YNL099C	0	1
27	YDR067C	1	3
28	YIL113W	0	2
29	YNL056W	1	2
30	YDL230W	1	3
31	YJR155W	0	3
32	YOL165C	0	0
33	YDL243C	0	2
34	YOR120W	0	0
35	YFL056C	0	0
36	YHR104W	1	1
37	YDR368W	1	0
38	YFL057C	0	0
39	YNL090W	1	2
40	YMR138W	1	1
41	YKR059W	1	0
42	YOR094W	0	4
43	YBR164C	1	3
44	YKR014C	1	0
45	YNL093W	0	1
46	YDL084W	1	0
47	YOR185C	1	2
48	YFL005W	1	1
49	YDR021W	1	2
50	YHR022C	0	2
51	YJR057W	0	1
52	YHR065C	0	3
53	YFL038C	1	0
54	YDR248C	0	0
55	YFL066C	1	2
56	YCR027C	1	6
57	YBR264C	1	2
58	YOR089C	1	1
59	YGR205W	0	3
60	YLR293C	1	0
61	YGL091C	0	0
62	YOR046C	1	0
63	YIL003W	1	3
64	YKL154W	0	1
65	YBR227C	0	1
66	YNL202W	0	1
67	YKL107W	0	2
68	YDL114W	0	2
69	YLR426W	1	4
70	YOR246C	1	0
71	YKL055C	0	1
72	YPL033C	0	4
73	YBR159W	0	0
74	YMR090W	0	0
75	YNL181W	1	1
76	YKL071W	0	3
77	YER004W	1	1
78	YIR036C	1	1
79	YIL124W	1	1
80	YGR019W	1	0
81	YNR058W	0	1
82	YLR438W	0	0
83	YLR027C	1	2
84	YBR263W	1	0
85	YEL066W	1	0
86	YPR193C	0	0
87	YPR131C	1	1
88	YDR071C	1	0
89	YFL017C	1	1
90	YIR042C	0	4
91	YDR183W	0	1
92	YKL026C	0	1
93	YDR453C	0	1
94	YCL035C	0	0
95	YCR083W	1	0
96	YIL010W	0	1
97	YLR364W	0	1
98	YHR057C	1	0
99	YDR304C	0	0
100	YML078W	0	0
101	YDR155C	1	0
102	YOR026W	1	3
103	YLR043C	1	0
104	YDL192W	0	0
105	YGL004C	1	3
