ORF	substrate	cd	counts	nopt
YDL021W	0	0.264	2	1
YKL152C	0	0.079	5	0
YKR043C	1	0.253	7	1
YOL056W	0	0.169	3	3
YDR051C	1	-0.08	5	4
YPR085C	0	0.028	2	8
YNL035C	1	-0.03	4	2
YMR146C	1	-0.064	0	0
YLR208W	1	-0.151	4	0
YDR142C	0	-0.316	2	6
YDR267C	1	-0.293	3	0
YMR116C	1	-0.391	3	0
YGL100W	1	0.061	2	8
YBR175W	1	-0.08	6	2
YNL006W	1	-0.319	4	0
YER107C	1	-0.338	2	2
YKL018W	1	0.088	4	6
YBR246W	1	-0.022	2	4
YBR234C	1	-0.312	3	0
YER066W	0	-0.323	1	2
YCL018W	0	-0.409	1	0
YDL066W	1	-0.089	3	0
YLR174W	1	-0.269	2	0
YOR136W	1	-0.578	3	0
YNL009W	0	0.086	3	9
YLR446W	0	0.021	6	6
YNL099C	0	-0.112	4	2
YDR067C	1	-0.132	3	3
YIL113W	0	0.219	0	2
YNL056W	1	-0.029	4	4
YDL230W	1	-0.173	4	3
YJR155W	0	0.064	1	0
YOL165C	0	-0.056	0	0
YDL243C	0	0.152	1	1
YOR120W	0	0.22	1	2
YFL056C	0	0.405	2	0
YHR104W	1	0.461	3	2
YDR368W	1	0.389	2	1
YFL057C	0	0.164	0	0
YNL090W	1	-0.401	3	0
YMR138W	1	-0.021	3	5
YKR059W	1	-0.211	2	0
YOR094W	0	-0.349	0	4
YBR164C	1	-0.041	3	3
YKR014C	1	-0.27	1	0
YNL093W	0	-0.329	1	4
YDL084W	1	-0.109	7	0
YOR185C	1	-0.341	5	0
YFL005W	1	-0.11	4	0
YDR021W	1	-0.058	4	5
YHR022C	0	-0.275	1	4
YJR057W	0	0.238	2	2
YHR065C	0	0.042	5	3
YFL038C	1	-0.097	2	0
YDR248C	0	-0.016	2	0
YFL066C	1	-0.247	5	0
YCR027C	1	-0.189	3	0
YBR264C	1	-0.47	5	0
YOR089C	1	-0.357	3	1
YGR205W	0	0.333	2	5
YLR293C	1	-0.339	5	0
YGL091C	0	0.024	2	0
YOR046C	1	-0.24	5	0
YIL003W	1	-0.351	4	0
YKL154W	0	-0.152	0	2
YBR227C	0	-0.17	2	0
YNL202W	0	0.126	3	2
YKL107W	0	0.276	2	4
YDL114W	0	0.747	4	9
YLR426W	1	0.419	2	4
YOR246C	1	0.313	4	1
YKL055C	0	0.295	1	1
YPL033C	0	0.323	1	1
YBR159W	0	0.403	0	1
YMR090W	0	0.046	1	0
YNL181W	1	0.399	5	0
YKL071W	0	0.232	2	5
YER004W	1	0.22	3	2
YIR036C	1	-0.054	4	0
YIL124W	1	0.273	3	0
YGR019W	1	0.334	4	0
YNR058W	0	0.003	1	2
YLR438W	0	-0.075	0	0
YLR027C	1	0.193	4	5
YBR263W	1	-0.009	2	0
YEL066W	1	-0.042	0	0
YPR193C	0	0.029	1	0
YPR131C	1	0.225	0	1
YDR071C	1	0.261	1	0
YFL017C	1	-0.023	1	0
YIR042C	0	0.024	1	2
YDR183W	0	0.142	0	3
YKL026C	0	0.456	1	2
YDR453C	0	0.043	0	0
YCL035C	0	0.19	1	0
YCR083W	1	0.307	0	0
YIL010W	0	0.333	1	1
YLR364W	0	0.213	0	0
YHR057C	1	-0.022	1	0
YDR304C	0	0.028	1	0
YML078W	0	0.095	0	0
YDR155C	1	-0.044	2	0
YOR026W	1	-0.041	4	1
YLR043C	1	-0.045	1	0
YDL192W	0	-0.383	1	0
YGL004C	1	-0.322	1	5
