"ORF"	"substrate"	"sf"	"fam"	"buriedCD"	"exposedCD"	"adjust"	"CDadjust"	"sbstr"	"sbstr2"
"YDL021W"	"-"	"c.60.1"	"c.60.1.1"	0.803571428571429	0.706293706293706	0.6	0.703571428571429	0	0
"YKL152C"	"-"	"c.60.1"	"c.60.1.1"	0.618881118881119	0.533653846153846	0.6	0.518881118881119	0	0
"YKR043C"	"+"	"c.60.1"	"c.60.1.1"	0.793103448275862	0.579365079365079	0.6	0.693103448275862	1	1
"YOL056W"	"-"	"c.60.1"	"c.60.1.1"	0.709459459459459	0.483870967741935	0.6	0.609459459459459	0	0
"YDR051C"	"+"	"c.60.1"	"c.60.1.1"	0.459876543209877	0.537790697674419	0.6	0.359876543209877	1	1
"YPR085C"	"-"	"b.69.4"	"b.69.4.1"	0.778409090909091	0.673184357541899	0.77	0.508409090909091	0	0
"YNL035C"	"+"	"b.69.4"	"b.69.4.1"	0.719827586206897	0.630573248407643	0.77	0.449827586206897	1	1
"YMR146C"	"+"	"b.69.4"	"b.69.4.1"	0.685929648241206	0.584459459459459	0.77	0.415929648241206	1	1
"YLR208W"	"+"	"b.69.4"	"b.69.4.1"	0.598726114649682	0.592857142857143	0.77	0.328726114649681	1	1
"YDR142C"	"-"	"b.69.4"	"b.69.4.1"	0.434210526315789	0.639455782312925	0.77	0.164210526315789	0	0
"YDR267C"	"+"	"b.69.4"	"b.69.4.1"	0.457286432160804	0.488549618320611	0.77	0.187286432160804	1	1
"YMR116C"	"+"	"b.69.4"	"b.69.4.1"	0.358974358974359	0.330645161290323	0.77	0.088974358974359	1	1
"YGL100W"	"+"	"b.69.4"	"b.69.4.1"	0.811111111111111	0.550295857988166	0.77	0.541111111111111	1	1
"YBR175W"	"+"	"b.69.4"	"b.69.4.1"	0.670212765957447	0.566929133858268	0.77	0.400212765957447	1	1
"YNL006W"	"+"	"b.69.4"	"b.69.4.1"	0.430635838150289	0.396153846153846	0.77	0.160635838150289	1	1
"YER107C"	"+"	"b.69.4"	"b.69.4.1"	0.412195121951219	0.484375	0.77	0.142195121951219	1	1
"YKL018W"	"+"	"b.69.4"	"b.69.4.1"	0.837765957446808	0.712765957446808	0.77	0.567765957446808	1	1
"YBR246W"	"+"	"b.69.4"	"b.69.4.1"	0.727848101265823	0.67	0.77	0.457848101265823	1	1
"YBR234C"	"+"	"b.69.4"	"b.69.4.1"	0.4375	0.482954545454545	0.77	0.1675	1	1
"YER066W"	"-"	"b.69.4"	"b.69.4.1"	0.426666666666667	0.627272727272727	0.77	0.156666666666667	0	0
