ORF	actual	pred
YDL021W	0	0
YKL152C	0	0
YKR043C	1	1
YOL056W	0	0
YDR051C	1	0
YPR085C	0	0
YNL035C	1	0
YMR146C	1	0
YLR208W	1	0
YDR142C	0	0
YDR267C	1	0
YMR116C	1	0
YGL100W	1	0
YBR175W	1	0
YNL006W	1	0
YER107C	1	0
YKL018W	1	0
YBR246W	1	0
YBR234C	1	0
YER066W	0	0
YCL018W	0	0
YDL066W	1	1
YLR174W	1	0
YOR136W	1	0
YNL009W	0	0
YLR446W	0	0
YNL099C	0	0
YDR067C	1	0
YIL113W	0	0
YNL056W	1	0
YDL230W	1	0
YJR155W	0	0
YOL165C	0	0
YDL243C	0	0
YOR120W	0	0
YFL056C	0	0
YHR104W	1	0
YDR368W	1	0
YFL057C	0	0
YNL090W	1	0
YMR138W	1	0
YKR059W	1	0
YOR094W	0	0
YBR164C	1	0
YKR014C	1	0
YNL093W	0	0
YDL084W	1	0
YOR185C	1	1
YFL005W	1	0
YDR021W	1	1
YHR022C	0	0
YJR057W	0	0
YHR065C	0	0
YFL038C	1	0
YDR248C	0	0
YFL066C	1	0
YCR027C	1	0
YBR264C	1	0
YOR089C	1	0
YGR205W	0	0
YLR293C	1	1
YGL091C	0	0
YOR046C	1	0
YIL003W	1	0
YKL154W	0	0
YBR227C	0	0
YNL202W	0	0
YKL107W	0	0
YDL114W	0	0
YLR426W	1	0
YOR246C	1	0
YKL055C	0	0
YPL033C	0	0
YBR159W	0	0
YMR090W	0	0
YNL181W	1	0
YKL071W	0	0
YER004W	1	0
YIR036C	1	0
YIL124W	1	0
YGR019W	1	0
YNR058W	0	0
YLR438W	0	0
YLR027C	1	0
YBR263W	1	0
YEL066W	1	0
YPR193C	0	0
YPR131C	1	0
YDR071C	1	0
YFL017C	1	0
YIR042C	0	0
YDR183W	0	0
YKL026C	0	0
YDR453C	0	0
YCL035C	0	0
YCR083W	1	0
YIL010W	0	0
YLR364W	0	0
YHR057C	1	0
YDR304C	0	0
YML078W	0	0
YDR155C	1	0
YOR026W	1	0
YLR043C	1	0
YDL192W	0	0
YGL004C	1	0
